Background	Treatment	LogCFU
CL69	Delta68-69	6.65042510764034
CL14	Delta68-69	5.73004228769729
CL69	Delta68-69	6.63281408878129
CL14	Delta68-69	4.83065457944649
CL69	Delta68-69	4.40880933173321
CL14	Delta68-69	0
CL69	Delta68-69	6.69439791073049
CL14	Delta68-69	5.38471752327078
CL69	Delta68-69	6.62673276658714
CL14	Delta68-69	6.25591421494152
CL69	Delta73	6.49175809383833
CL14	Delta73	5.87319250967634
CL69	Delta73	6.64796881151597
CL14	Delta73	5.36124506214635
CL69	Delta73	6.66149269798231
CL14	Delta73	6.55686854820082
CL69	Delta73	6.82490812276391
CL14	Delta73	5.88011936216209
CL69	Delta73	6.71923475279308
CL14	Delta73	5.45184611574411
CL69	B.japonicum	6.62364082254592
B.japonicum	B.japonicum	5.09006149282382
CL69	B.japonicum	5.22714202561455
B.japonicum	B.japonicum	4.3293376350843
CL69	B.japonicum	6.78549596842209
B.japonicum	B.japonicum	4.79078035283039
CL69	B.japonicum	6.64925051081437
B.japonicum	B.japonicum	4.72332242541719
CL69	B.japonicum	6.93356926190028
B.japonicum	B.japonicum	4.87378789665734
CL69	CL69	6.66579738993056
CL69	CL69	6.90150395748684
CL69	CL69	6.65684290190348
CL69	CL69	5.78419584048106
CL69	CL69	4.88459728752981
CL69	10Vario	6.35078375557582
CL14	10Vario	5.30466450365986
VarioASV1	10Vario	5.17613653602812
CL69	10Vario	6.78847682880591
CL14	10Vario	5.62251515821697
VarioASV1	10Vario	5.66334221405467
CL69	10Vario	6.08088034163181
CL14	10Vario	5.58252520045966
VarioASV1	10Vario	5.07708297230266
CL69	10Vario	6.2792716957888
CL14	10Vario	5.09025081980992
VarioASV1	10Vario	5.11222656066213
CL69	10Vario	6.60141632062833
CL14	10Vario	6.44082020619949
VarioASV1	10Vario	5.35164264342213
CL69	Root562	6.53040930060998
Root562	Root562	5.16396872172967
CL69	Root562	6.48345506914586
Root562	Root562	5.22671979916391
Root562	Root562	0
CL69	Root562	6.08127172259774
Root562	Root562	5.32526321729135
CL69	Root562	6.72083756108928
Root562	Root562	5.27277072979292
CL69	CL14	6.99442060365534
CL14	CL14	5.72461815389756
CL69	CL14	6.75057800630526
CL14	CL14	5.04848573519861
CL69	CL14	6.43140633687132
CL14	CL14	5.62834106242873
CL69	CL14	6.85658081374473
CL14	CL14	5.93901340228516
CL69	CL14	6.74285443446452
CL14	CL14	5.52593930144098
CL69	CL71	6.85844961040231
CL71	CL71	4.53322073053505
CL69	CL71	6.25919177948208
CL71	CL71	0
CL69	CL71	6.6275662727042
CL71	CL71	0
CL69	CL71	6.71879379926637
CL71	CL71	4.90336058520418
CL69	CL71	6.83320241276944
CL71	CL71	4.2628784265004
CL69	P.putida1290	6.57515909301915
P.putida1290	P.putida1290	4.45842019671949
CL69	P.putida1290	6.66625089473635
P.putida1290	P.putida1290	4.75695014593736
CL69	P.putida1290	6.71804109614519
P.putida1290	P.putida1290	4.766206225741
CL69	P.putida1290	6.72613507010669
P.putida1290	P.putida1290	4.83278051155287
CL69	P.putida1290	6.76946012977613
P.putida1290	P.putida1290	5.09140576465222
CL69	MarRS28AR46A	6.69196942542603
CL14	MarRS28AR46A	5.93817148857322
CL69	MarRS28AR46A	6.63563700773115
CL14	MarRS28AR46A	6.24423213910884
CL69	MarRS28AR46A	6.82058012171835
CL14	MarRS28AR46A	5.6983215227339
CL69	MarRS28AR46A	6.46202950566043
CL14	MarRS28AR46A	6.14742496398084
CL69	MarRS28AR46A	6.70464949042974
CL14	MarRS28AR46A	5.83624653069571
CL69	PsJN	6.88777667406559
PsJN	PsJN	6.11989332768001
CL69	PsJN	6.63354913808199
PsJN	PsJN	6.06183551482496
CL69	PsJN	6.17264156298123
PsJN	PsJN	5.96844222089486
CL69	PsJN	6.71664477161642
PsJN	PsJN	5.91871833447394
CL69	PsJN	6.6925119602297
PsJN	PsJN	5.63840581495931
CL69	E.soli	4.34149766355477
E.soli	E.soli	0
CL69	E.soli	6.55498676103329
E.soli	E.soli	5.96849139524784
CL69	E.soli	6.54763267106813
E.soli	E.soli	6.09356309030463
CL69	E.soli	7.08354454227413
E.soli	E.soli	0
CL69	E.soli	6.4390003762907
E.soli	E.soli	5.87080639738594
